Sample	Longitude	Latitude
CA_ECO105927AD	15	2
CA_ECO94046AD	15	2
CA_ECO94331AD	15	2
CA_ECO94367AD	15	2
CAR_033	16	4
CAR_041	16	4
CAR_47745	26	-9
C_CAM0010S	14	5
C_CAM0011S	14	5
C_CAM0018S	14	5
C_CAM0019S	14	5
C_CAM001S	14	5
C_CAM0022S	14	5
C_CAM002S	14	5
C_CAM024S	12	5
C_CAM026S	12	5
C_CAM027s	12	5
CA_ECO94645DJ	13	3
CA_ECO94852DJ	13	3
CA_ECO94854DJ	13	3
CA_ECO94951DJ	13	3
DRC_008	26	-11
GABON_Bitam1_3	12	2
GABON_Bitam3_3	12	2
GABON_LIB2_1	10	0
GABON_MOCABE1_1	11	-3
GABON_OYEM1-4	12	2
GH_39165	-2	8
GH_39166	-1	6
GH_47696	-2	8
GH_47700	-1	7
GH_47702	-1	6
GH_47711	-2	8
GH_47713	-1	6
GH_47718	-1	6
GHANA_39167	-2	8
GHANA_39168	-1	6
GHANA_47693	-1	6
GHANA_47694	-1	6
GHANA_47695	-2	7
GHANA_47698	-2	7
GHANA_47701	-2	7
GHANA_47703	-2	7
GHANA_47708	-1	7
GHANA_47715	-3	8
GHANA_47719	-2	8
GHANA_47720	-2	8
GHANA_47721	-2	8
34501LE	14	3
81348LE	14	3
CA_ECO34165LE	14	3
CA_ECO34735LE	14	3
CA_ECO80351LE	14	3
CA_ECO81327LE	14	3
CA_ECO81363LE	14	3
CA_ECO85197LE	14	3
CA_ECO85214LE	14	3
CA_ECO85331LE	14	3
CA_ECO88094LE	14	3
22645NG	14	3
22648NG	14	3
CA_ECO19076NG	14	3
CA_ECO23289NG	14	3
CA_ECO84551NG	14	2
21530AB	9	5
25921AB	9	5
81543AB	9	6
CA_ECO21532AB	9	5
CA_ECO26202AB	9	6
CA_ECO26208AB	9	6
CA_ECO26936AB	9	5
CA_ECO27273AB	9	6
16567AK	12	2
28201AK	12	2
CA_ECO102510AK	12	2
CA_ECO102520AK	12	2
CA_ECO102521AK	12	2
CA_ECO102544AK	12	2
CA_ECO102546AK	12	2
CA_ECO102690AK	12	2
CA_ECO20129AK	12	2
CA_ECO38941AK	12	2
NIG_1	3	7
NIG_11	6	8
NIG_12	6	7
NIG_14	4	7
NIG_3	3	7
NIG_4	3	7
NIG_7	4	7
COREP_WBPAN_3	15	2
COREP_WBPAN_4	15	2
COREP_WBPAN_6	15	2
COREP_WBPAN_7	15	2
REPCONGO5	15	2
SL_47727	-11	8
SL_47731	-11	8
SL_47732	-11	8
SL_47733	-11	8
SL_47734	-11	8
15968NY	11	2
24216NY	11	2
CA_ECO13287NY	11	2
CA_ECO13430NY	11	2
CA_ECO15567NY	11	2
CA_ECO17837NY	11	2
CA_ECO17931NY	11	2
CA_ECO24796NY	11	2
CA_ECO24922NY	11	2
CA_ECO25350NY	10	2
CA_ECO37848NY	11	2
CA_ECO95334NY	10	2
